Column1,Positive_Reviews,Negative_Reviews
26,"D staff are helpfull and friendly . -no window n view-no fridge",null
27,"Near food court . The alley to room quite smelly, but not too strong. Still can tolerate",null
28,"The location is nearby a restaurant (Geylang station if im not mistaken.. the foods all delicious,great staffs), the hotel staffs are friendly, the room is clean.. Would love to repeat again . Nothing",null
29,"The area of the place, full of shops,food was awesome..distance from point to point is very near..every restaurant nor coffee shop is very clean.. Hard to see litter on the ground..100% recommended!! Will come again!! Keep it up pasir gudang!! Nvr once regret . Nothing..all is good",null
30,The location of hotel quite close to my destination.There is  many shops and restaurant near the hotel. I m satisfied with overall services. . The room smelly a bit.,null
31,the most clean toilet i ever stay before....keep it up... . staff on duty not friendly,null
36,"The location of the hotel is near to many shops and restaurants. The room is very clean and the staff is friendly . the smell at the lobby especially during night, maybe it comes from the water fountain. They only provide one pillow for each person and the pillow was too thin and soft",null
37,I like the peaceful and quiet surrouding. The breakfast was nice too and of my tastes. The location is also strategic but unfortunately the weather restrain us from having us to explore more. . There's nothing much to say on this point.,null
39,location and easy parking . wifi and tv,null
43,A very good environment even for small room. . The lobby seems empty,null
44,Service was good and efficient . No breakfast,null
45,Valued for the money and didn't expect such a near luxury hotel for a cheap price. I will stay there again. . During my stay I don't see anything that I don't like. Everything is so convenient.,null
46,"Staff was extremely friendly . Crows were everywhere, the sound they making especially in the morning",null
47,not so spacious but enough for me and family. staffs were good . nothing.,null
48,everthinh was very nice and very great . nothing,null
49,best and near to all access . none,null
50,best service . no,null
51,Is my father last stay. He is very happy. . Nothing to didn't like.,null
52,Nice room . To,null
53,"Staff were really friendly, the room was clean. Great food all within walking distance . Nothing",null
55,everything was very good . nothing,null
56,"Budget but very comfortable for us.
Got free flow coffee. . Nothing",null
57,Nice place and beautifull view . Nothing,null
58,"Simple, Nice and Clean HotelAmple parking spaceWill come againFree coffee . Nothing",null
59,Location is good for business travelers especially when you are working at Pasir Gudang area. Hotel is also nearby with places to eat. Water pressure in the bathroom is strong which is very nice for shower. . Lobby area was a bit gloomy and quite. Wifi connectivity was not strong enough and always disconnected (maybe for certain area of the floor),null
60,The location and its surrounding businesses. It  provide ample parking and no hassle to check in. . The only thing that stop me from giving a full rating is the fact that for the two deluxe room was without windows. When I booked the rooms we were promised that all rooms were with windows. However when we checked in we were told that the 2 deluxe rooms were without windows due to the fact that the customers that stayed earlier extended their stay. I am surprised that this reason was given. Procedure should be that the earlier customer should move to another room and not the rooms I have been booked for..sigh so unprofessional. That is the only thing that this hotel lacks.. integrity and professionalism.,null
61,housekeeping staff was very nice to help arrange our stuff. . nothing to say,null
62,great location . none,null
63,"Clean room
Adequate facilities
Excellent front office staff . Maybe they can provide some instant coffee or tea in room",null
64,I like the environment and all the facilities surrounding . If the hotel can upgrade to have their own cafe and breakfast service so that maybe in future we could pay the room with breakfast,null
66,great location . -,null
67,"Within walking distance to eateries and shops, very easy to find parking, pleasant atmosphere at night as the area is well lit, clean and comfortable room, room size relatively big for a budget hotel, good quality free WiFi connection . None",null
68,clean and comfort . sometimes wifi/internet is down.,null
69,"Clean, spacious, and convenient location . Noisy. Could hear other guests moving chairs or other stuff around. Didn't get a good sleep.",null
70,"The center of the airport, around the markets, is very clean, upscale and quiet . No thing",null
71,"Clean and hotel standard. . The hose for the toilet broke, we tried fixing it. But all good still.",null
72,Excellent location and super comfy beds. . A little overpriced for a windowless room and there was construction noises when trying to sleep.,null
74,"Comfortable bed for sleep with lot shopping mall. . Bad sound proof, I can hear water sound, people talking and running sound. Affected my sleep",null
75,"The hotel is in a really good position ÃÂ¢ÃÂÃÂ¦
itÃÂ¢ÃÂÃÂs in klia 2 airport but very well connected to the klia 1 terminal and 4 minute away from the express train that connects you either between terminals either to the city centre .
A lot of restaurants around as there is a huge shopping center to pass before you get to the terminal .
Very clean and easy check in or check out.
A bit pricey but a very comfortable stay if you are just stop over before your next flight . A bit pricey , especially for the 12 hours only room.",null
76,"Great airport hotel. Great location inside the airport terminal. I requested a quiet room for 12 hours: have a great sleep before the next early morning flight . A bit pricey But considering its location, I honestly cannot complain.",null
77,Location is super close to the terminal . Shared bathroom,null
79,"All staff are friendly and responsive. Hotel room is clean and comfortable. . When we arrived hotel was about 11pm and our room got affected by the construction noise (from airport), on and off till 12am. Feedback to hotel staff and they managed to respond quickly. Hope hotel can feedback to airport that all the construction should end by 10pm so that the noise won't affect customer. Thank you.",null
80,Love the location. Excellent for overnight transit. Clean and comfortable. . The lights too dim,null
81,"Super easy and comfy hotel of you need to be at the airport . They put us in a very tiny room. Didn't look like the pictures. So I went to ask, they said it is the same room but they have it in different sizes.
I told them I wanted what I paid for. If the room sizes are that different (it was for sure 6m2less) then they should handle different prices on those rooms.
So we switched rooms
The picture is of the first room we got. Compare it to the booking.com pictures ;)",null
82,"It was quiet and comfortable . I didn't realize I would be sharing a bathroom, so I think the price was to much for a share bathroom concept.",null
83,Comfortable bed. Easy access to airport. . No windows,null
84,Location and facilities . We can hear a construction during the whole night!!,null
86,Check in was a debarcle!! . Either efficient staff or more staff.,null
87,"The accessibility and convenience that close to the train station, and within KLIA2 terminal..its a good stop for a long journey. Facilities available were nice and enough amenities available for stay. Check-in and out was a breeze! . Cleanliness for the shared bathroom can be improved. Although its good that the staff always clean it whenever it was used. Just it would be good if we have an indicator that showed the shared shower was in use or not, since have to constantly check for it when want to use it.",null
88,"The hotel was just outside security at the airport, only minutes after picking up our bags we were at the hotel. . The water was turned off from 12:30 to 2 am but we were still able to brush our teeth. It wasnÃÂ¢ÃÂÃÂt much of an inconvenience and it was on again for showers in the morning.",null
90,Location within airport and excellent choice for those going for early morning flights or long layover. . The room is quite warm as the A/C thermostat cannot be adjusted. Informed front desk and housekeeping and was reassured that it will take quite a while for it to adjust. Unfortunately it remains the same the whole time.,null
91,The hotel is close to restaurants and the train to get to the airport. . The reception desk staff were brusque and not as friendly as we'd experienced at 5 other hotels during our travels. We had to wait a long while to be seen to.  There was no-one present at the desk when we had to leave our key in the very early morning.,null
93,"Located right inside a mall that has a food court, pharmacy, grocery .... . Price over-rated for a window-less room and basic amenities.",null
94,"At airport . Nothing , no breakfast ÃÂ¢ÃÂÃÂ¦ but fast good - 1 min away",null
95,Clean and location (it is inside the airport) . Flexible checking in,null
96,"I always value a decent transit hotel, and Aerotel certainly fits the bill. Its convenient location is a significant advantage, making it an ideal choice for travelers on layovers. The standout feature for us was the availability of family rooms. Traveling with a group of four, we found the room to be not only spacious but also cozyÃÂ¢ÃÂÃÂa perfect combination for a comfortable rest during our layover. . attempted to contact them proved to be quite frustrating as numerous calls went unanswered. Additionally, the pillows provided were not up to par, lacking the expected comfort.our stay coincided with ongoing renovations. Regrettably, the soundproofing seemed inadequate, and we were unable to enjoy a peaceful rest due to the disturbances caused by the construction noise.",null
97,Quick check in . Price point,null
99,location n comfortable . front staff not friendly,null
101,"Perfect spot at KLIA2
Comfort space for personal
Clean and full amenities . Hot water isnt hot enough
Still can hear announcement from airport
No breakfast choice",null
102,room is very clean and comfy . bothing,null
103,It was very comfortable and easy to sleep in. . Getting between terminals is a confusing and stressful nightmare. WeÃÂ¢ÃÂÃÂd avoid KL going forward and go through Singapore or the like to avoid the change in terminals.,null
104,"Great location, although a little bit hard to find initially. . Explanation of additional facilities at check in eg access to lounge for free coffee.  Minor niggle given the short stay.",null
105,It was clean and perfectly situated as we had a 11 hour stopover.  It was great to be able to have a shower before a 13 hour flight . Nothing,null
106,"I liked the convenience of being able to book a short-term hotel stay without having to leave the airport.
My room was very clean, quiet and comfortable.
It was very accessible to restaurants in the airport.
And, there's a premium lounge within steps from the front entrance.
The lounge is not included in your stay, but there is a bar outside of the lounge to sit and have drinks and a light meal.
Everything was very convenient.
Even catching the KLIA Expres was convenient.   It cost only RM 2 Ringit and one stop away to reach the international terminal.
There's also a free bus to KLIA terminal 1, but you have to go outside to catch it.
KLIA Expres was steps away from the Aerotel. . I didn't like not having any windows, but I got over it quickly.
I would suggest that they put some air fresheners in the hallways.   It smelled like someone used the bathroom and stunk up the public hallways.",null
107,location is great and the place is very clean . no luggage storage service,null
109,The location is convenient and easy to find. The room is comfortable and modern. The shower room is quite clean and comfortable. . Noise from other rooms. Sometimes the guests close the room in a loud noise.,null
111,Very good . No meal provided,null
112,"Location was perfect
Very nice staff
Clean . Some clicking noise inside the room & and i can hear noise from other rooms",null
113,Bed was comfortable. . There were no closets and shelves.,null
114,"The room and the bathroom is perfectly clean, just like how the advertisement shown. The AC works fine. For domestic flight, it's very convenient for you to get a good rest before departure, especially every restaurant is nearby. It may be a little pricey, but it fits with it's location and fairness. . The room is a little smaller than I expected in according to the advertisement, but I understand that it's only for 12 hours stay policy. Also, we had some several issues when it comes to the door key card, better make sure the door is locked twice ya. The reception service is decent, could've been better but I bet they're just tired.",null
115,"It is right at the airport among many airport shops and cafes. . Getting there from the arrival terminal is a little tricky. There should be at least one more, clear direction sign in each terminal.",null
116,"Very close to the departure gate. Room was spacy, comfortable bed. Definitely will jave good night sleep while waiting for the flight . A bit pricy after covid 19",null
118,"The hotel is located right in the mall next to Terminal 2 which gives you a great choice of food and shopping options during your stay. . Compared to the rooms I have been staying in before, the rooms with shared shower facilities are a bit more noisy.",null
119,The facilities were great. So clean and comfortable . It was far away from Terminal one. It took an hour to get out. DidnÃÂ¢ÃÂÃÂt realise that you needed to get through immigration and then take bus to Terminal 2. This should be told to customers booking. It was stressful,null
121,"We need to stay because of the layover for 16 hours. The staff is really helpful and the room is spacious. There is several flight information inside the hotel. It's near the departure and easy to find from arrival (follow the sign). . We only stay for 12 hours and after they got us a room turns out the room is not ready (in the middle of cleaning) we waited for around 15 min but they didn't finished. But they helped us to reach receptionist and got us a new room and change the check out time. But we were tired at that time, please do make sure that the room you are giving is ready to use when someone checked in.",null
123,"Room was immaculately clean. Good shower facilities and convenience of location right next to terminal transfer station and restaurants. . Booking restricted by hours instead of by nights. Booked one night, which ended up being 12 hours instead. Was unable to check in on arrival, and had to leave luggage elsewhere for the day.",null
124,"Fast check in, fast check out, easy to find room. . N lobby.  Lighting in the room was too dim. Not so friendly staff.",null
125,"Easy to locate, fast check in, fast check out. Inside airport so easy to find dinner. . Can actually hear next door talking/opening door. Not so friendly staff.",null
126,"Location is great just next to the airport, great for late arrivals. . There are no windows in the room. It is very easy overslept.",null
127,"Location
Clean
Furniture . Staff in chick-in wasn't giving the right information about transportation to other terminal
Noise from construction somewhere else , so difficult to sleep",null
129,"The location is awesome. We had a long stop over in KL so decided to get a room for 12 hours to get some sleep. We went through immigration and the hotel is a short walk from there. It is basically in the airport and is surrounded by shops and eating places. There is a free shuttle bus to the Mitsui outlet stores which we took and that was very convenient.
The room itself has no windows, was cool, had a very nice bed, clean food quality linen and a clean small bathroom. It was all we needed. Easy check out by dropping your key into the key box in reception. . We asked to check out an hour later but that was expensive and we didnÃÂ¢ÃÂÃÂt end up doing it. There was a bit of noise from people in the hallways which kept us awake for a while.",null
130,"Really easy to find - took the KLIA Ekspres train from T1 for RM2 (which is about ÃÂÃÂ£0.35p), even got the ticket in the baggage claim area so avoided the queue at the station (and could use card so didn't need Malaysia money). The hotel is just at the exit from the train and up an elevator. Quick and friendly check-in. The room was bigger than I was expecting, with lovely modern bathroom with excellent walk-in shower, fluffy towels and all the amenities you might need. The bed was reaaaaallllly comfy with good quality linens and pillow choices - I slept like a log! Thought it would be strange not having a window but this made for a better sleep. The coffee shop (Coffee Bean/Tea Leaf) just opposite makes excellent coffee and breakfast bagels. Really easy to then check-in for the next flight at T2 the next day. Perfect for a stopover in between flights and would stay again. . I don't think I've slept as good since!",null
131,"Great location, right outside the escalator to departure area. Amazing place to stay overnight if you have a long layover, or want to spend the night closer to the airport for an earlier flight. . The size of rooms. Booked two rooms of the same kind, one was significantly smaller than the other. It was late in the night when we reached and was just for a night so didnt bother changing the rooms.",null
132,It was just outside the immigration so very easy for connecting flights . The fact I had to go through immigration,null
133,"Generally very comfortable and very clean. The room was also quiet. . Air conditioning system was too cold, and we couldn't understand how to adjust it. Even though we were shown how to set it, it just wouldn't warm up. We had to keep turning it off.",null
134,"Convenient for early morning flights . There are food stations underneath the room, itÃÂ¢ÃÂÃÂs noisy at night that you can hear the tables/ chairs moving all the time. The check in staff didnÃÂ¢ÃÂÃÂt inform us any cafe or restaurant available for the daily room booking.",null
135,"It was in the airport terminal and easy to find. The shower was excellent, the room was clean and the bed was comfy. . No window, no teabags. Could only get one channel on TV",null
136,Good for short stay for layover at the airport. Lots of restaurants and shops nearby. . Photos doesn't reflect the actual space and layout of the room. Smaller than expected. Lots of noise from the shopping area.,null
137,clean and convenient . no,null
138,Room very clean . Nothing,null
139,Very comfortable . Have to clear customs and security to get to the hotel.,null
140,"Location in the terminal. Easy to find food outlets. Showers clean. Hair dryer, drinking water provided, Plenty of multinational electrical outlets. Towel and toothbrush. . Doors banging. Like many airport hotels, doors bang at all times, but more here because people are going to and from showers and toilets. `",null
141,"The location of the hotel is convenient for transit travellers.
The bed and room was really comfortable.
The bathroom was really clean . Nothing",null
142,Clean. Comfortable beds. No hassle. . Loud voices heard from next door.  Lighting was low which is good for some but we like a little more light .,null
144,"Friendly staff, simple and comfortable room, free toiletries were a nice touch. Location is so convenient. . There was supposed to be soundproofing, but the room was very noisy, with people shouting in the corridor through the night and I could hear the baby in the next room, as well as other noises, so sleep was disturbed.",null
148,Good location . Nil,null
149,"Location is superb, just beside jonker street . Soundproof is bad",null
150,Well designed. Love the Peranakan vibes throughout the hotel. Breakfast spread is good. Staff are friendly too! . Location.,null
151,"My 2nd time there. Location is super n rooms are clean. Good air conditioning too.
Staff are all good n friendly except for parking security guard.
Deco was nice n good for photo taking which my friends loved. I recommended the place so it was important for me. . We had a driver n when we wanted to enter parking area at the back of Baba Hse, with him in our mpv, guard asked us if we were guests.
We said yes n showed him our room key cards too.
He was very unfriendly and was indignant to allow our car in.
After our driver insisted, only he moved the barrier.
We understand we have to inform the reception upon arrival if we needed parking but since our driver stayed somewhere else we disnt require parking on checking in.
However on check out, he needed to load our luggage and parking in front of hotel was full.
He could have been more polite about the matter. Instead he showed us a nasty face and it was an  upsetting end to our stay there!
So rude!! Must be trained better or hotel will get a bad reputation.",null
152,Great location. Staff very helpful and knowledgeable . When i first entered d room. It has a musky smell.,null
153,"Location, aesthetics, food, breakfast, cleanliness . Difficult to fit a family of 4 comfortably in room",null
154,"the location is perfect, rooftop facilities also nice . the sound proof was not great, still can hear ppl walking around the corridor, especially the staff who do cleaning etc",null
155,"Breakfast, location and comfort all great. The only downside was the very late housekeeping of the rooms- you should let customers know of the alternative on check in . See above - housekeeping at 4pm is ridiculous- thatÃÂ¢ÃÂÃÂs nap time after very hot day",null
157,"Visiting Jonker Street area, where you find many intersting shops in historic Nyonya houses, is the best attraction of visiting Malacca. And staying Baba House can be the best way to truly enjoy the area.  The hotel is located right in the middle of the Jonker Street area, and we were quite impressed when we entered the hotel because the building itself is made out of the traditional building, but the interior design is very nicely done by keeping elements of Nyonya houses in a luxury touch. We stayed at Family Suites for three of us, and the room came with a spacious balcony with a bathtub which we didnÃÂ¢ÃÂÃÂt expect to have. We were happy with the spacious room, comfy beds, spacious bathroom with full amenities. . The indoor tables for breakfast were quite limited, and there were no tables for us when we went there around 9am. We couldnÃÂ¢ÃÂÃÂt find any help from staff and were left stranded for quite sometime while there were several staff in the dining area. I wish they could be a little more attentive to help us find a table.",null
158,Great location. Better than hotels nearer to Jonker street. Quieter but still walking distance to most attractions. Breakfast was surprisingly super good !!! . Nothing,null
159,"The hotel is beautifully arranged, room are spacious and very comfortable. Restaurant offer delicious local food. . N/a",null
160,"Very new, modern and Clean. Love the Baba Theme and very convenient, right beside jonker walk. Everything you need from restaurant, street food, local delicacies are all walking distance. . Nil.",null
161,very convenient n good service . very polite staff,null
162,Beautiful property and well located . Noise travelled so if children were running around you could hear them but it wasnÃÂ¢ÃÂÃÂt often,null
163,"Baba house is beautifully designed (in keeping with the peranakan aesthetic), centrally located (one street behind the bustling jonker street), and very clean and new.
The room is an adequate size for a couple, but it would be a squeeze if you needed to add a baby cot.
We didnÃÂ¢ÃÂÃÂt try the food in the hotel as there were plenty of good options around. . Welcome drink was just alright.",null
164,"Hotel Design & Location is great . Only 1 small window, and no fan. Because sometimes prefer fan rather Aircond.",null
165,Very good location. The Bed is good. Car Parking is good. I like the design for whole hotel. . No swimming pool. access card not working during the time I check-out (before 12pm),null
166,Minimalist design and simple . Parking entrance can be a challenge. Perhaps a good video on social media or Waze to introduce the rear parking entrance will be good.,null
167,"The facade s so outstanding n blend well into the whole row of shops.
I was impressed they managed to sqz out a rest area on the rooftop for drinks n chit chat.
We managed to rent the bicycles n ride the historical sites nearby.
Parking is in the shade n safe.
We even watch a movie outside at the garden.
The staffs are friendly n responsive to our request.
TQ to Shireen (CRO) for taking care of me n my family. . I would suggest two improvements:
1. Should have a nice smell in the arrival n hall area.  Food smell should b removed from these area.
2. Find a solution to the waste dump at the back.",null
168,"The hotel has designed a first class hotel that is within a heritage building. The rooms are divine and the amenities first class that includes a tanning area on the roof. The shower is to die for, yes a simple pleasure done well. It is located 5 minutes walk from honker and the main square. . There is nothing to dislike about Baba House.",null
169,"Great location, lovely outdoor sitting areas, good breakfast and spacious room . Internal spaces didnÃÂ¢ÃÂÃÂt seem well ventilated",null
170,"the hotel is located at jonker street, the main shopping/foodie street in melaka.hotel is gorgeous, breakfast is pretty good.free movie every night. . nothing much to complain about",null
171,The location was great . The rooms were very dark and the light well was a bit mean and didnÃÂ¢ÃÂÃÂt really let a lot of light and air it it the room. There was a problem with the building plumbing and at times there was an unpleasant odour.,null
172,"Great location in Jonkers. ItÃÂ¢ÃÂÃÂs a beautiful hotel, although the corridors did smell. The beds were really comfortable, and always service with a smile. . We found a large cockroach on the wall above our bed in the morning. Not sure how long it had been there. Thank goodness it didnÃÂ¢ÃÂÃÂt fall on our head when we slept!!",null
173,"Very nice hotel, renewed recently.Large and pleasant rooms.Quiet.Super rooftop.Excellent location to visit Melaka.I recommend strongly this hotel. . Breakfast not enough adapted to occidentals. Miss pancakes, waffles. You have to claim for eggs. Bad welcome drink with a lot of sugar. You could offer cocktails at your rooftop, it would be a must.A gym room is missing.",null
174,"Really enjoy my stay at Baba House!
Beautiful hotel, friendly staff, free parking (limited parking), free baby cot, walking distance to all famous place and free upgrade to premium room with outdoor jacuzzi!
Highly recommend! ?? . Breakfast is a bit simple and nice, could be improve to have more variety.",null
175,"Ideally located in the centre, very convenient to visit Malacca by foot, comfortable room . A lot of people at breakfast (large groups), thin walls so quite noisy at night, nice breakfast but less suited for europeans",null
176,Room size and king sized bed . Breakfast buffet not as good as expected,null
177,"The location and beautifully maintained.... would definitely recommend.The breakfast were also terrific. . Stayed 3 nights ,2 of nights they had functions right next door till late.Wish they were more eco friendly with shampoo, products and drinking water.Lots if places we stay in have refillable glass drink bottles and shampoo dispensers.",null
178,"The hotel is located very close to the city centre. The building is really nice, recently relooked. Room is comfortable and bathroom are new. Breakfast various and the relaxing rooftop is useful after a daily walk in Melaka. Great idea the open air cinema and reception is very careful and kind. Private parking available. Great place to stay. . I would recommend a better room insonorization.",null
179,A little gem.of a place close to Jonker Street. A bit on the pricey side but well worth the money.for the experience. . Overpowering cooking smells from the restaurants at times. Perhaps they need better ventilation.,null
180,"I'm a Tiktoker on a very tight schedule. Basically the team really took care of me, helped to iron, film some moments, made coffee for me, charged my devices.. I felt their care and hospitality and it helped me produce a better result Mashallah. Terima kasih Shirleen and the crew. Loved it!everything is fresh and cleandesign is lovelyfeels like a European boutique hotel . not all facilities are ready yet (gym) but its ok",null
181,"The rooms, staff and location was amazing!! Absolute 10 out of 10. . Restaurant is slightly small. However they do let you sit in the terrace and have breakfast so no complaints",null
182,"Great location and lovely, clean hotel. Deco was beautiful. I would stay here again for sure. . Check in was really slow. Also we booked multiple roons and realised that our room sizes varied widely within the same booking class. Some rooms were musty but overall the rooms were pretty good.",null
183,"Very nicely restored house, spatious rooms, large bathroom with necessary amenities. Rooftop terrace and dipping pools were a very nice touch. . No direct window to the outside, room dark, breakfast choice a bit limited for non-Asians.",null
184,"New, clean and great location. Love the decor . Unpleasant smell in the room. Luckily, I brought my room spray",null
185,Excellent . Air on was difficult to control,null
186,"Lovely building.
Excellent location . The soundproofing of the place is not ideal. Rooms by the road are noisy
But staff were very quick to respond to our request for a change of room",null
188,"Baba HouseÃÂ¢ÃÂÃÂs location, architecture, and hospitality really stood out to us. The property is well maintained and beautiful. The breakfast was also nice and halal. . The floor couldÃÂ¢ÃÂÃÂve been swept better. Other than that, the rooms were clean and nicely furnished.",null
189,very clean . stylish,null
190,"Great location, rooms are spacious, clean and modern. . Alittle bit of road noise at night but not the hotels fault and didn't affect our stay. Best location in the area.",null
191,Deco was superb. And location was close to all main attraction. . Not many facilities and restaurant was small,null
192,"Location and preservation mindset. Clean and tidy. . Room smallish, dining hall too small. Limited facilities.",null
193,New fresh and tateful decor. Love the USB ports in the property. . The corridors have a strange stale odour.,null
194,"ItÃÂ¢ÃÂÃÂs like a museum, so beautifully and detailed decorated. . Nothing, our this trip involved 2 different accommodation in KL, this one in Melacca and also two accommodation in Thailand, this Baba House is the best, itÃÂ¢ÃÂÃÂs even one of the best in our many many travel around the world, definitely recommended!!!",null
195,"Very good location, close to jonker but along a quieter street. Front desk folks are very friendly and hospitable, offered a welcome drink as well. Room is a decent size, toilet is big. Hotel offered us complimentary breakfast which was really sweet of them. We are grateful. . Although breakfast was complimentary, it can definitely be improved to include more variety. Taste needs to be refined and dishes that are meant to be eaten hot should be kept warm eg: porridge and mee goreng",null
196,Room is spacious and clean. Near to the Jonker Street and attractions. . No,null
197,"Great location.  Hotel fabulously presented with modern ,sophisticated ,clean rooms.  Very helpful staff. . Nothing",null
198,Beautiful hotel very centrally located. Facilities are great and room was very spacious and comfortable. . Dining options in evening are limited but excellent for breakfast.,null
199,The building was beautiful. I loved the way it had been restored and has so many thoughtful touches. . I enjoyed everything,null
200,"The best hotel in Jonker road. Strategic location, just at the centre of Jonker road! Walking distance to some famous spots. Parking space available to hotel guest. It was raining when we arrived, the hotel staff aware of our arrival and show us the direction of parking lots, it's under roof so we were not caught in the rain. Really thumb up to the friendly staff :)Strong water pressure for shower, we can have a good shower =) . There were a group of tourists just arrived I think, they were talked loudly for quite some time and the we can heard it clearly in our room, perhaps our room located just up to the centre hall. Otherwise all good.",null
201,"The house is so beautiful. ItÃÂ¢ÃÂÃÂs been renovated so well and has many beautiful features and touches, comfortable rooms and bathrooms, and a lovely rooftop.
The location is amazing being right in the old town and walking distance from everything. . A small gym would have made our stay at Baba House perfect.",null
202,"Fantastic location for anyone wanting to be in the most interesting and attractive part of old Melaka - we walked everywhere
Very nice aesthetic design & environment, blending old and new. Very clean
Rooftop terrace and dipping pools very good . neither of these were deal breakers - weÃÂ¢ÃÂÃÂd recommend the hotel and go back if in Melaka.
Breakfast was adequate but not amazing, and when things ran out they were not replaced very quickly.
There was a bad smell at one end of the roof terrace so we had to move to the other end",null
203,Location is near everywhere . nothing.,null
204,"Lovely building and location. The room was very big and modern, wonderful bathroom. . I probably should have looked more closely, but wish it was explicit it didnÃÂ¢ÃÂÃÂt have an external window. I had a window to a closet courtyard but there was only a dead tree and an old toilet roll to look at it! Cleanliness could be improved slightly in room.",null
205,"Location, design . Everything was great about the property, except there was a funny smell in the room. Smells like Sewarage.
Also their website is misleading with the room types (ie it states that junior suites come with balconies, but there is only 1 such room.  Descriptions have to be clearer in order not to mislead the customers.",null
206,Excellent location with car park. Nice Peranakan themed hotel . Nothing,null
207,"The hotel is nicely located in the city center and you could visit all the highlights by foot. The room was very spacious, clean, has good AC, and had a good bathroom. Overall it is great value for money. . Quite a bit of noise outside. The room had a few windows without blinds, so a lot of light came in in the morning.",null
209,Location is convenient . Junior Suite Room can be quite noisy until after 1am. Can do better with sound proof by using double layer window.,null
210,"The lobby, mosaic tile, atrium, wishing tree, fountains, garden, and rooms are beautiful. The staff were very friendly and helpful. Great breakfast buffet with a wide variety of food choices. Movie night in the garden is a fun idea! . The complimentary drink is a nice surprise. Please include more options (such as calamari juice). We couldn't figure out how to turn off the patio light in the bathrooom atrium, which shone into the room all night.",null
211,The interior designs are awesome. Whole hotel is quite new and clean. . Nothing,null
212,"The hotel is perfectly located, the building is beautiful in and out, and the rooms are well-furnished. We also really enjoyed the breakfast, and the staff is really sweet from what we saw. . Overall the only downside was how long the check-in took, and even that was okay since it didnÃÂ¢ÃÂÃÂt take more than 10 minutes.",null
